--- Starting DDPG Training on Pendulum-v1 ---
Step:   18289 | Ep Return: -117.89 | Avg Return (last 50): -658.92 | Ep Length:  201
Step:   18490 | Ep Return: -119.75 | Avg Return (last 50): -637.55 | Ep Length:  201
Step:   18691 | Ep Return: -491.37 | Avg Return (last 50): -623.12 | Ep Length:  201
Step:   18892 | Ep Return: -353.36 | Avg Return (last 50): -603.80 | Ep Length:  201
Step:   19093 | Ep Return: -242.60 | Avg Return (last 50): -586.98 | Ep Length:  201
Step:   19294 | Ep Return: -116.35 | Avg Return (last 50): -568.05 | Ep Length:  201
Step:   19495 | Ep Return: -256.12 | Avg Return (last 50): -553.49 | Ep Length:  201
Step:   19696 | Ep Return: -366.85 | Avg Return (last 50): -539.96 | Ep Length:  201
Step:   19897 | Ep Return: -124.45 | Avg Return (last 50): -514.85 | Ep Length:  201
[Metrics] Step: 20000/50000 | Q-Loss: 6.3921 | Pi-Loss: 75.1725 | SPS: 559
Step:   20098 | Ep Return: -236.28 | Avg Return (last 50): -498.15 | Ep Length:  201
Step:   20299 | Ep Return:   -2.09 | Avg Return (last 50): -471.15 | Ep Length:  201
Step:   20500 | Ep Return: -116.07 | Avg Return (last 50): -438.75 | Ep Length:  201
Step:   20701 | Ep Return: -236.12 | Avg Return (last 50): -409.31 | Ep Length:  201
Step:   20902 | Ep Return: -925.56 | Avg Return (last 50): -397.83 | Ep Length:  201
Step:   21103 | Ep Return: -118.45 | Avg Return (last 50): -368.10 | Ep Length:  201
Step:   21304 | Ep Return: -246.28 | Avg Return (last 50): -343.19 | Ep Length:  201
Step:   21505 | Ep Return:   -2.61 | Avg Return (last 50): -314.16 | Ep Length:  201
Step:   21706 | Ep Return:   -1.20 | Avg Return (last 50): -287.54 | Ep Length:  201
Step:   21907 | Ep Return: -228.47 | Avg Return (last 50): -267.61 | Ep Length:  201
Step:   22108 | Ep Return: -1563.34 | Avg Return (last 50): -275.59 | Ep Length:  201
Step:   22309 | Ep Return: -1407.90 | Avg Return (last 50): -285.42 | Ep Length:  201
Step:   22510 | Ep Return: -516.69 | Avg Return (last 50): -282.18 | Ep Length:  201
Step:   22711 | Ep Return: -242.64 | Avg Return (last 50): -274.00 | Ep Length:  201
Step:   22912 | Ep Return: -116.90 | Avg Return (last 50): -262.97 | Ep Length:  201
Step:   23113 | Ep Return: -226.47 | Avg Return (last 50): -259.62 | Ep Length:  201
Step:   23314 | Ep Return: -118.15 | Avg Return (last 50): -256.73 | Ep Length:  201
Step:   23515 | Ep Return:   -1.20 | Avg Return (last 50): -246.45 | Ep Length:  201
Step:   23716 | Ep Return: -227.24 | Avg Return (last 50): -243.30 | Ep Length:  201
Step:   23917 | Ep Return: -120.61 | Avg Return (last 50): -243.14 | Ep Length:  201
Step:   24118 | Ep Return: -297.89 | Avg Return (last 50): -246.44 | Ep Length:  201
Step:   24319 | Ep Return: -238.67 | Avg Return (last 50): -246.22 | Ep Length:  201
Step:   24520 | Ep Return: -237.15 | Avg Return (last 50): -248.52 | Ep Length:  201
Step:   24721 | Ep Return: -118.30 | Avg Return (last 50): -250.73 | Ep Length:  201
Step:   24922 | Ep Return: -118.95 | Avg Return (last 50): -250.48 | Ep Length:  201
[Metrics] Step: 25000/50000 | Q-Loss: 34.0272 | Pi-Loss: 62.2087 | SPS: 467
Step:   25123 | Ep Return: -118.43 | Avg Return (last 50): -252.75 | Ep Length:  201
Step:   25324 | Ep Return: -131.02 | Avg Return (last 50): -248.67 | Ep Length:  201
Step:   25525 | Ep Return:   -4.98 | Avg Return (last 50): -246.18 | Ep Length:  201
Step:   25726 | Ep Return: -243.17 | Avg Return (last 50): -246.12 | Ep Length:  201
Step:   25927 | Ep Return: -349.76 | Avg Return (last 50): -250.78 | Ep Length:  201
Step:   26128 | Ep Return: -117.13 | Avg Return (last 50): -250.69 | Ep Length:  201
Step:   26329 | Ep Return:   -1.58 | Avg Return (last 50): -248.10 | Ep Length:  201
Step:   26530 | Ep Return: -120.33 | Avg Return (last 50): -248.00 | Ep Length:  201
Step:   26731 | Ep Return: -122.22 | Avg Return (last 50): -250.44 | Ep Length:  201
Step:   26932 | Ep Return: -248.26 | Avg Return (last 50): -252.77 | Ep Length:  201
Step:   27133 | Ep Return: -118.73 | Avg Return (last 50): -252.74 | Ep Length:  201
Step:   27334 | Ep Return: -230.74 | Avg Return (last 50): -254.98 | Ep Length:  201
Step:   27535 | Ep Return: -126.35 | Avg Return (last 50): -252.36 | Ep Length:  201
Step:   27736 | Ep Return: -126.21 | Avg Return (last 50): -252.36 | Ep Length:  201
Step:   27937 | Ep Return: -233.12 | Avg Return (last 50): -249.71 | Ep Length:  201
Step:   28138 | Ep Return: -229.03 | Avg Return (last 50): -247.50 | Ep Length:  201
Step:   28339 | Ep Return: -127.90 | Avg Return (last 50): -247.70 | Ep Length:  201
Step:   28540 | Ep Return: -122.70 | Avg Return (last 50): -247.76 | Ep Length:  201
Step:   28741 | Ep Return: -307.02 | Avg Return (last 50): -244.07 | Ep Length:  201
Step:   28942 | Ep Return: -114.74 | Avg Return (last 50): -239.30 | Ep Length:  201
Step:   29143 | Ep Return: -120.19 | Avg Return (last 50): -236.85 | Ep Length:  201
Step:   29344 | Ep Return: -114.05 | Avg Return (last 50): -236.81 | Ep Length:  201
Step:   29545 | Ep Return: -273.02 | Avg Return (last 50): -237.14 | Ep Length:  201
Step:   29746 | Ep Return: -122.07 | Avg Return (last 50): -232.25 | Ep Length:  201
Step:   29947 | Ep Return: -125.86 | Avg Return (last 50): -232.28 | Ep Length:  201
[Metrics] Step: 30000/50000 | Q-Loss: 1.8996 | Pi-Loss: 56.6433 | SPS: 421
Step:   30148 | Ep Return: -228.35 | Avg Return (last 50): -232.12 | Ep Length:  201
Step:   30349 | Ep Return: -120.45 | Avg Return (last 50): -234.49 | Ep Length:  201
Step:   30550 | Ep Return:   -2.13 | Avg Return (last 50): -232.21 | Ep Length:  201
Step:   30751 | Ep Return: -128.38 | Avg Return (last 50): -230.05 | Ep Length:  201
Step:   30952 | Ep Return: -361.82 | Avg Return (last 50): -218.78 | Ep Length:  201
Step:   31153 | Ep Return: -126.68 | Avg Return (last 50): -218.94 | Ep Length:  201
Step:   31354 | Ep Return: -125.71 | Avg Return (last 50): -216.53 | Ep Length:  201
Step:   31555 | Ep Return: -123.90 | Avg Return (last 50): -218.96 | Ep Length:  201
Step:   31756 | Ep Return: -130.33 | Avg Return (last 50): -221.54 | Ep Length:  201
Step:   31957 | Ep Return: -122.06 | Avg Return (last 50): -219.41 | Ep Length:  201
Step:   32158 | Ep Return: -225.05 | Avg Return (last 50): -192.64 | Ep Length:  201
Step:   32359 | Ep Return: -115.27 | Avg Return (last 50): -166.79 | Ep Length:  201
Step:   32560 | Ep Return: -330.03 | Avg Return (last 50): -163.06 | Ep Length:  201
Step:   32761 | Ep Return: -123.66 | Avg Return (last 50): -160.68 | Ep Length:  201
Step:   32962 | Ep Return: -127.73 | Avg Return (last 50): -160.90 | Ep Length:  201
Step:   33163 | Ep Return: -224.63 | Avg Return (last 50): -160.86 | Ep Length:  201
Step:   33364 | Ep Return: -119.44 | Avg Return (last 50): -160.88 | Ep Length:  201
Step:   33565 | Ep Return: -118.68 | Avg Return (last 50): -163.23 | Ep Length:  201
Step:   33766 | Ep Return: -122.88 | Avg Return (last 50): -161.15 | Ep Length:  201
Step:   33967 | Ep Return: -120.25 | Avg Return (last 50): -161.14 | Ep Length:  201
Step:   34168 | Ep Return: -115.58 | Avg Return (last 50): -157.49 | Ep Length:  201
Step:   34369 | Ep Return: -119.74 | Avg Return (last 50): -155.11 | Ep Length:  201
Step:   34570 | Ep Return: -115.94 | Avg Return (last 50): -152.69 | Ep Length:  201
Step:   34771 | Ep Return:   -2.28 | Avg Return (last 50): -150.37 | Ep Length:  201
Step:   34972 | Ep Return:   -2.37 | Avg Return (last 50): -148.04 | Ep Length:  201
[Metrics] Step: 35000/50000 | Q-Loss: 57.8652 | Pi-Loss: 44.3956 | SPS: 393
Step:   35173 | Ep Return: -120.31 | Avg Return (last 50): -148.08 | Ep Length:  201
Step:   35374 | Ep Return: -124.74 | Avg Return (last 50): -147.95 | Ep Length:  201
Step:   35575 | Ep Return:   -1.61 | Avg Return (last 50): -147.88 | Ep Length:  201
Step:   35776 | Ep Return: -118.99 | Avg Return (last 50): -145.40 | Ep Length:  201
Step:   35977 | Ep Return: -126.11 | Avg Return (last 50): -140.93 | Ep Length:  201
Step:   36178 | Ep Return:   -1.30 | Avg Return (last 50): -138.61 | Ep Length:  201
Step:   36379 | Ep Return: -126.56 | Avg Return (last 50): -141.11 | Ep Length:  201
Step:   36580 | Ep Return: -115.42 | Avg Return (last 50): -141.01 | Ep Length:  201
Step:   36781 | Ep Return: -232.18 | Avg Return (last 50): -143.21 | Ep Length:  201
Step:   36982 | Ep Return: -244.31 | Avg Return (last 50): -143.13 | Ep Length:  201
Step:   37183 | Ep Return:   -2.84 | Avg Return (last 50): -140.81 | Ep Length:  201
Step:   37384 | Ep Return: -128.11 | Avg Return (last 50): -138.76 | Ep Length:  201
Step:   37585 | Ep Return: -118.28 | Avg Return (last 50): -138.60 | Ep Length:  201
Step:   37786 | Ep Return:   -4.81 | Avg Return (last 50): -136.17 | Ep Length:  201
Step:   37987 | Ep Return: -250.08 | Avg Return (last 50): -136.51 | Ep Length:  201
Step:   38188 | Ep Return: -124.35 | Avg Return (last 50): -134.42 | Ep Length:  201
Step:   38389 | Ep Return: -131.97 | Avg Return (last 50): -134.50 | Ep Length:  201
Step:   38590 | Ep Return: -120.57 | Avg Return (last 50): -134.46 | Ep Length:  201
Step:   38791 | Ep Return: -122.23 | Avg Return (last 50): -130.76 | Ep Length:  201
Step:   38992 | Ep Return: -130.50 | Avg Return (last 50): -131.08 | Ep Length:  201
Step:   39193 | Ep Return: -123.05 | Avg Return (last 50): -131.13 | Ep Length:  201
Step:   39394 | Ep Return:   -7.76 | Avg Return (last 50): -129.01 | Ep Length:  201
Step:   39595 | Ep Return: -133.89 | Avg Return (last 50): -126.22 | Ep Length:  201
Step:   39796 | Ep Return: -131.91 | Avg Return (last 50): -126.42 | Ep Length:  201
Step:   39997 | Ep Return: -125.69 | Avg Return (last 50): -126.42 | Ep Length:  201
[Metrics] Step: 40000/50000 | Q-Loss: 32.6948 | Pi-Loss: 39.8414 | SPS: 374
Step:   40198 | Ep Return: -125.99 | Avg Return (last 50): -124.37 | Ep Length:  201
Step:   40399 | Ep Return: -231.34 | Avg Return (last 50): -126.59 | Ep Length:  201
Step:   40600 | Ep Return: -132.27 | Avg Return (last 50): -129.19 | Ep Length:  201
Step:   40801 | Ep Return: -125.55 | Avg Return (last 50): -129.13 | Ep Length:  201
Step:   41002 | Ep Return: -130.38 | Avg Return (last 50): -124.51 | Ep Length:  201
Step:   41203 | Ep Return: -132.14 | Avg Return (last 50): -124.61 | Ep Length:  201
Step:   41404 | Ep Return: -324.91 | Avg Return (last 50): -128.60 | Ep Length:  201
Step:   41605 | Ep Return: -134.26 | Avg Return (last 50): -128.81 | Ep Length:  201
Step:   41806 | Ep Return: -233.24 | Avg Return (last 50): -130.86 | Ep Length:  201
Step:   42007 | Ep Return: -346.53 | Avg Return (last 50): -135.35 | Ep Length:  201
Step:   42208 | Ep Return: -254.67 | Avg Return (last 50): -135.95 | Ep Length:  201
Step:   42409 | Ep Return: -126.18 | Avg Return (last 50): -136.16 | Ep Length:  201
Step:   42610 | Ep Return: -134.65 | Avg Return (last 50): -132.26 | Ep Length:  201
Step:   42811 | Ep Return: -127.92 | Avg Return (last 50): -132.34 | Ep Length:  201
Step:   43012 | Ep Return: -126.26 | Avg Return (last 50): -132.31 | Ep Length:  201
Step:   43213 | Ep Return:  -10.09 | Avg Return (last 50): -128.02 | Ep Length:  201
Step:   43414 | Ep Return: -127.71 | Avg Return (last 50): -128.19 | Ep Length:  201
Step:   43615 | Ep Return:   -8.99 | Avg Return (last 50): -125.99 | Ep Length:  201
Step:   43816 | Ep Return: -131.52 | Avg Return (last 50): -126.17 | Ep Length:  201
Step:   44017 | Ep Return: -250.29 | Avg Return (last 50): -128.77 | Ep Length:  201
Step:   44218 | Ep Return: -238.44 | Avg Return (last 50): -131.22 | Ep Length:  201
Step:   44419 | Ep Return: -241.23 | Avg Return (last 50): -133.65 | Ep Length:  201
Step:   44620 | Ep Return:  -10.00 | Avg Return (last 50): -131.54 | Ep Length:  201
